Scale,N,Approximation,Error
0.5,47600,0.932437,1.27898
0.5,48100,0.931393,1.38952
0.5,48600,0.953086,0.907261
0.5,49100,0.949246,0.500706
0.5,49600,0.955484,1.16109
0.5,50100,0.967984,2.48453
0.5,50600,0.936601,0.838142
0.5,51100,0.929941,1.54321
0.5,51600,0.965271,2.19733
0.5,52100,0.920998,2.49007
0.5,52600,0.963346,1.99349
0.5,53100,0.945537,0.107943
0.5,53600,0.902388,4.46039
0.5,54100,0.962366,1.88973
0.5,54600,0.955604,1.17385
0.5,55100,0.951289,0.716914
0.5,55600,0.945324,0.0853934
0.5,56100,0.940321,0.444283
0.5,56600,0.959152,1.54944
0.5,57100,0.958319,1.46123
0.5,57600,0.963056,1.96274
0.5,58100,0.949811,0.560444
0.5,58600,0.920137,2.58128
0.5,59100,0.941861,0.281195
0.5,59600,0.941745,0.293507
0.5,60100,0.94802,0.370854
0.5,60600,0.952607,0.85653
0.5,61100,0.933028,1.21643
0.5,61600,0.94026,0.450754
0.5,62100,0.975974,3.33049
0.5,62600,0.91885,2.71751
0.5,63100,0.9458,0.13585
0.5,63600,0.912704,3.36815
0.5,64100,0.962746,1.92993
0.5,64600,0.94291,0.170137
0.5,65100,0.94427,0.0261332
0.5,65600,0.947805,0.348082
0.5,66100,0.925386,2.02552
0.5,66600,0.981141,3.87753
0.5,67100,0.94307,0.153215
0.5,67600,0.956213,1.23829
0.5,68100,0.944493,0.00251915
0.5,68600,0.970729,2.77514
0.5,69100,0.913922,3.23926
0.5,69600,0.945287,0.0815412
0.5,70100,0.976205,3.35497
0.5,70600,0.935751,0.928144
0.5,71100,0.934571,1.05304
0.5,71600,0.940112,0.466424
0.5,72100,0.927601,1.79103
0.5,72600,0.933554,1.16075
0.5,73100,0.932859,1.23429
0.5,73600,0.944783,0.0281014
0.5,74100,0.959352,1.57065
0.5,74600,0.945845,0.140529
0.5,75100,0.921651,2.42093
0.5,75600,0.929524,1.58741
0.5,76100,0.955585,1.17177
0.5,76600,0.946632,0.223889
0.5,77100,0.943813,0.0745308
0.5,77600,0.949485,0.525914
0.5,78100,0.927631,1.78779
0.5,78600,0.956947,1.31595
0.5,79100,0.941391,0.33102
0.5,79600,0.948141,0.383637
0.5,80100,0.926642,1.89255
0.5,80600,0.94134,0.336387
0.5,81100,0.951517,0.741062
0.5,81600,0.938431,0.644331
0.5,82100,0.95922,1.5567
0.5,82600,0.949734,0.55229
0.5,83100,0.933622,1.1535
0.5,83600,0.964785,2.14581
0.5,84100,0.956005,1.21624
0.5,84600,0.919905,2.60575
0.5,85100,0.936122,0.888811
0.5,85600,0.937383,0.755307
0.5,86100,0.936957,0.800426
0.5,86600,0.947991,0.367762
0.5,87100,0.951366,0.725139
0.5,87600,0.92895,1.64819
0.5,88100,0.941657,0.302798
0.5,88600,0.958194,1.44804
0.5,89100,0.945275,0.08023
0.5,89600,0.954464,1.05314
0.5,90100,0.940111,0.466503
0.5,90600,0.969007,2.5928
0.5,91100,0.937168,0.778095
0.5,91600,0.959127,1.54676
0.5,92100,0.957394,1.36334
0.5,92600,0.952225,0.816019
0.5,93100,0.941955,0.271281
0.5,93600,0.937607,0.731628
0.5,94100,0.912731,3.36532
0.5,94600,0.943425,0.11564
0.5,95100,0.953943,0.997974
0.5,95600,0.952636,0.859571
0.5,96100,0.934527,1.05775
0.5,96600,0.965135,2.18285
0.5,97100,0.95242,0.836724
0.5,97600,0.945246,0.0771522
0.5,98100,0.946137,0.171454
0.5,98600,0.943611,0.0959896
0.5,99100,0.935136,0.993202
0.5,99600,0.945703,0.125527
1,100,0.75,20.5944
1,600,1.08333,14.697
1,1100,0.772727,18.1881
1,1600,0.90625,4.05151
1,2100,1.02381,8.39501
1,2600,1.02885,8.92826
1,3100,1.00806,6.72802
1,3600,0.993056,5.13896
1,4100,0.957317,1.35518
1,4600,0.809783,14.2649
1,5100,0.872549,7.61957
1,5600,0.959821,1.62032
1,6100,0.97541,3.27073
1,6600,0.943182,0.141381
1,7100,0.911972,3.44571
1,7600,0.973684,3.08804
1,8100,0.888889,5.8896
1,8600,0.936047,0.896826
1,9100,1.01648,7.61938
1,9600,0.9375,0.742939
1,10100,0.938119,0.677423
1,10600,0.964623,2.12865
1,11100,0.914414,3.18711
1,11600,0.926724,1.88382
1,12100,0.921488,2.43824
1,12600,0.948413,0.412434
1,13100,0.914122,3.21805
1,13600,0.891544,5.60848
1,14100,0.902482,4.45041
1,14600,0.953767,0.97933
1,15100,0.918874,2.71493
1,15600,0.908654,3.797
1,16100,0.934783,1.03064
1,16600,0.932229,1.30101
1,17100,0.893275,5.42524
1,17600,0.93608,0.893328
1,18100,0.922652,2.31497
1,18600,0.865591,8.3562
1,19100,0.97644,3.37978
1,19600,1.01276,7.22463
1,20100,0.988806,4.68904
1,20600,0.93568,0.935671
1,21100,1.00948,6.87775
1,21600,0.953704,0.972615
1,22100,0.926471,1.91067
1,22600,0.964602,2.12644
1,23100,0.902597,4.43822
1,23600,0.960805,1.72447
1,24100,0.911826,3.46118
1,24600,0.956301,1.24758
1,25100,0.972112,2.92153
1,25600,0.974609,3.18599
1,26100,0.913793,3.25289
1,26600,0.93515,0.991703
1,27100,0.899446,4.77182
1,27600,0.96558,2.22998
1,28100,0.940391,0.436808
1,28600,0.954545,1.06173
1,29100,0.934708,1.03855
1,29600,1.00929,6.85783
1,30100,0.915282,3.09521
1,30600,0.955065,1.11678
1,31100,0.967846,2.46988
1,31600,0.913766,3.25578
1,32100,0.894081,5.33989
1,32600,0.947086,0.271959
1,33100,0.93429,1.08279
1,33600,0.929315,1.60947
1,34100,0.927419,1.81022
1,34600,0.937139,0.781188
1,35100,0.934473,1.06343
1,35600,0.927669,1.78384
1,36100,0.918975,2.70425
1,36600,0.91735,2.87633
1,37100,0.931941,1.33153
1,37600,0.955452,1.15773
1,38100,0.94685,0.247027
1,38600,0.946244,0.182775
1,39100,0.946931,0.255555
1,39600,0.926768,1.87922
1,40100,0.90399,4.29078
1,40600,0.936576,0.840729
1,41100,0.932482,1.27424
1,41600,0.914062,3.22437
1,42100,0.969715,2.66779
1,42600,0.934859,1.02254
1,43100,0.937935,0.69688
1,43600,0.919725,2.62488
1,44100,0.926304,1.92832
1,44600,0.93778,0.713266
1,45100,0.920177,2.57696
1,45600,0.927632,1.78775
1,46100,0.950108,0.591972
1,46600,0.929185,1.62333
