Scale,N,Approximation,Error
15,600,1.815,92.1617
15,1100,0,100
15,1600,0,100
15,2100,1.03714,9.80667
15,2600,0.837692,11.31
15,3100,0.35129,62.8074
15,3600,0.3025,67.9731
15,4100,1.32805,40.6061
15,4600,0.710217,24.8063
15,5100,1.06765,13.0363
15,5600,1.36125,44.1213
15,6100,0.535574,43.2966
15,6600,1.155,22.2847
15,7100,0.920282,2.56591
15,7600,1.00303,6.19461
15,8100,0.941111,0.360615
15,8600,1.13965,20.6597
15,9100,1.1967,26.7
15,9600,1.02094,8.09094
15,10100,0.754752,20.0912
15,10600,0.924623,2.10632
15,11100,1.07919,14.2583
15,11600,0.844914,10.5454
15,12100,0.72,23.7706
15,12600,0.518571,45.0967
15,13100,1.16382,23.2182
15,13600,0.640588,32.1782
15,14100,1.23574,30.8335
15,14600,1.04425,10.5588
15,15100,1.22603,29.8046
15,15600,0.767885,18.7008
15,16100,1.42043,50.3874
15,16600,0.787229,16.6528
15,17100,0.955263,1.13772
15,17600,0.680625,27.9394
15,18100,0.962652,1.92
15,18600,0.819677,13.2173
15,19100,0.969267,2.62037
15,19600,1.27791,35.2975
15,20100,1.24612,31.9319
15,20600,0.845825,10.4489
15,21100,1.39351,47.5364
15,21600,1.31083,38.7834
15,22100,0.98552,4.34118
15,22600,1.20465,27.5409
15,23100,1.36714,44.7452
15,23600,1.47661,56.3349
15,24100,1.03929,10.0345
15,24600,0.885366,6.2626
15,25100,0.867729,8.12988
15,25600,0.850781,9.92422
15,26100,0.917931,2.81479
15,26600,0.982556,4.02737
15,27100,1.00461,6.36255
15,27600,0.78913,16.4514
15,28100,0.69758,26.1443
15,28600,0.533077,43.5609
15,29100,1.30979,38.6734
15,29600,0.919764,2.62078
15,30100,0.868306,8.06884
15,30600,0.889706,5.8031
15,31100,1.05048,11.219
15,31600,0.827089,12.4327
15,32100,0.814206,13.7966
15,32600,0.935337,0.9719
15,33100,1.08571,14.9487
15,33600,0.745446,21.0765
15,34100,0.958065,1.43431
15,34600,1.29043,36.6236
15,35100,0.806667,14.5948
15,35600,1.13183,19.8312
15,36100,0.87482,7.37914
15,36600,0.862869,8.64445
15,37100,0.557709,40.953
15,37600,0.926809,1.87489
15,38100,0.714567,24.3458
15,38600,0.818161,13.3779
15,39100,0.946957,0.258263
15,39600,0.7425,21.3884
15,40100,0.597456,36.7448
15,40600,0.965616,2.23379
15,41100,0.980365,3.79535
15,41600,1.15183,21.9488
15,42100,1.13815,20.5004
15,42600,0.996972,5.55359
15,43100,0.707471,25.0971
15,43600,1.17392,24.2881
15,44100,1.11122,17.65
15,44600,0.927848,1.76489
15,45100,1.13488,20.1543
15,45600,0.931382,1.39072
15,46100,1.03939,10.0449
15,46600,1.02824,8.86412
15,47100,0.947962,0.364694
15,47600,1.00664,6.57706
15,48100,1.01881,7.86622
15,48600,0.851481,9.85008
15,49100,0.975886,3.32114
15,49600,0.812359,13.9922
15,50100,1.08683,15.0669
15,50600,0.62413,33.9207
15,51100,0.809824,14.2605
15,51600,0.717558,24.0291
15,52100,0.919693,2.62825
15,52600,0.78673,16.7056
15,53100,0.922881,2.29068
15,53600,0.975224,3.25105
15,54100,1.12725,19.3462
15,54600,1.25654,33.035
15,55100,0.751034,20.4848
15,55600,0.900971,4.61039
15,56100,0.951176,0.705046
15,56600,1.00049,5.92657
15,57100,1.33503,41.3448
15,57600,0.794063,15.9293
15,58100,0.918434,2.76156
15,58600,1.04068,10.1814
15,59100,1.03188,9.24927
15,59600,1.05977,12.2018
15,60100,0.797271,15.5895
15,60600,1.02431,8.44768
15,61100,0.908985,3.76191
15,61600,0.848571,10.1582
15,62100,0.894348,5.31164
15,62600,0.956789,1.29928
15,63100,0.966466,2.32381
15,63600,1.01024,6.95791
15,64100,0.781498,17.2596
15,64600,1.02831,8.87178
15,65100,1.00369,6.26452
15,65600,0.896433,5.09088
15,66100,0.922602,2.32024
15,66600,0.768514,18.6342
15,67100,0.99,4.81546
15,67600,0.90213,4.48769
15,68100,0.927489,1.80285
15,68600,0.682609,27.7293
15,69100,0.819508,13.2353
15,69600,0.985733,4.36367
15,70100,1.14959,21.7115
15,70600,0.740397,21.6111
15,71100,0.842405,10.811
15,71600,0.958198,1.44848
15,72100,0.936449,0.854173
15,72600,0.84,11.0657
15,73100,0.878947,6.94223
15,73600,0.858179,9.14095
15,74100,0.881781,6.6421
15,74600,0.963458,2.00539
15,75100,0.928043,1.74423
15,75600,1.05155,11.3318
15,76100,0.973088,3.02492
15,76600,0.767702,18.7201
15,77100,0.790973,16.2564
15,77600,0.926211,1.93812
15,78100,0.822676,12.8998
15,78600,1.1084,17.3506
15,79100,0.908647,3.7977
15,79600,0.90294,4.40198
15,80100,0.774944,17.9534
15,80600,0.918759,2.72709
15,81100,0.859383,9.01346
15,81600,0.894154,5.33212
15,82100,1.03462,9.53917
15,82600,1.05472,11.6678
15,83100,0.943538,0.10368
15,83600,0.872763,7.5969
15,84100,0.945268,0.079443
15,84600,0.978298,3.5765
15,85100,0.793396,15.9998
15,85600,0.826928,12.4497
15,86100,0.784181,16.9754
15,86600,0.905404,4.14106
15,87100,1.18777,25.7545
15,87600,0.671301,28.9265
15,88100,0.914711,3.15575
15,88600,1.19225,26.2281
15,89100,0.977778,3.52144
15,89600,0.935859,0.916639
15,90100,0.858147,9.14443
15,90600,0.793311,16.0088
15,91100,1.02804,8.84239
15,91600,0.915426,3.08003
15,92100,0.898632,4.85807
15,92600,0.90554,4.12668
15,93100,0.853888,9.59526
